words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
загадочный	взгляд сфинкса	9	1	1	0	attraction	0.1111	0.9969	2.4584
тяжелый	жернов	9	1	1	0	attraction	0.1111	0.9969	2.4584
тяжелый	марафон	9	1	1	0	attraction	0.1111	0.9969	2.4584
тяжелый	чугун	9	1	1	0	attraction	0.1111	0.9969	2.4584
оранжевый	солнышко	2	5	1	0	attraction	0.4985	0.1996	2.413
веселый	дитя	2	5	1	0	attraction	0.4985	0.1996	2.413
белый	сахар	99	9	3	0.34	attraction	0.0279	0.2961	2.4128
невинный	душа	10	1	1	0	attraction	0.1	0.9965	2.4126
невинный	новорожденный младенец	10	1	1	0	attraction	0.1	0.9965	2.4126
невинный	капля росы по утру	10	1	1	0	attraction	0.1	0.9965	2.4126
невинный	щеночек	10	1	1	0	attraction	0.1	0.9965	2.4126
огромный	город	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	печка	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	вулкан	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	кипяток	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	тибет	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	сковородка	10	1	1	0	attraction	0.1	0.9965	2.4126
горячий	утюг	10	1	1	0	attraction	0.1	0.9965	2.4126
румяный	кровь	1	10	1	0	attraction	0.9965	0.1	2.4126
страшный	жаба	10	1	1	0	attraction	0.1	0.9965	2.4126
страшный	чудо-юдо	10	1	1	0	attraction	0.1	0.9965	2.4126
сухой	песок	10	1	1	0	attraction	0.1	0.9965	2.4126
сухой	сухарь	10	1	1	0	attraction	0.1	0.9965	2.4126
упрямый	ишак	10	1	1	0	attraction	0.1	0.9965	2.4126
упрямый	вол	10	1	1	0	attraction	0.1	0.9965	2.4126
упрямый	стадо	10	1	1	0	attraction	0.1	0.9965	2.4126
надежный	танк	20	13	2	0.1	attraction	0.0957	0.1469	2.3754
белый	простыня	99	3	2	0.11	attraction	0.0198	0.6291	2.3721
могущественный	бог	1	11	1	0	attraction	0.9961	0.0909	2.3712
недостижимый	солнце	1	11	1	0	attraction	0.9961	0.0909	2.3712
ослепительный	солнце	1	11	1	0	attraction	0.9961	0.0909	2.3712
грубый	доска	1	11	1	0	attraction	0.9961	0.0909	2.3712
точный	молния	1	11	1	0	attraction	0.9961	0.0909	2.3712
рад	дите малое	11	1	1	0	attraction	0.0909	0.9961	2.3712
счастливый	миллионер	11	1	1	0	attraction	0.0909	0.9961	2.3712
счастливый	суслик	11	1	1	0	attraction	0.0909	0.9961	2.3712
счастливый	слон	11	172	4	0.73	attraction	0.2984	0.0204	2.3656
неуклюжый	слон	2	172	2	0.13	attraction	0.9342	0.0116	2.3566
холодный	рыба	46	6	2	0.11	attraction	0.0419	0.3163	2.3528
игривый	котенок	3	4	1	0	attraction	0.3322	0.2492	2.334
большой	вселенная	3	4	1	0	attraction	0.3322	0.2492	2.334
богатый	земля	4	3	1	0	attraction	0.2492	0.3322	2.334
вязкий	смола	3	4	1	0	attraction	0.3322	0.2492	2.334
толстый	паровоз	4	3	1	0	attraction	0.2492	0.3322	2.334
толстый	шар	4	3	1	0	attraction	0.2492	0.3322	2.334
совершенный	богиня	3	4	1	0	attraction	0.3322	0.2492	2.334
бедный	мышь	2	6	1	0	attraction	0.4981	0.1663	2.3339
бездонный	океан	2	6	1	0	attraction	0.4981	0.1663	2.3339
непоколебимый	гора	2	6	1	0	attraction	0.4981	0.1663	2.3339
грациозный	лев	2	6	1	0	attraction	0.4981	0.1663	2.3339
теплый	молоко	2	6	1	0	attraction	0.4981	0.1663	2.3339
серый	мышь	2	6	1	0	attraction	0.4981	0.1663	2.3339
смелый	лев	2	6	1	0	attraction	0.4981	0.1663	2.3339
нежный	цветочек	12	1	1	0	attraction	0.0833	0.9957	2.3334
худой	швабра	12	1	1	0	attraction	0.0833	0.9957	2.3334
вечный	лестница	13	1	1	0	attraction	0.0769	0.9954	2.2987
тупой	дятел	13	1	1	0	attraction	0.0769	0.9954	2.2987
спакойный	танк	1	13	1	0	attraction	0.9954	0.0769	2.2987
гладкий	стекло	32	29	3	0.36	attraction	0.0836	0.0921	2.2961
длинный	змея	7	2	1	0.01	attraction	0.1425	0.4977	2.267
пустой	дым	7	2	1	0.01	attraction	0.1425	0.4977	2.267
пустой	вата	7	2	1	0.01	attraction	0.1425	0.4977	2.267
стройный	барби	14	1	1	0.01	attraction	0.0714	0.995	2.2665
стройный	олененок	14	1	1	0.01	attraction	0.0714	0.995	2.2665
стройный	осина	14	1	1	0.01	attraction	0.0714	0.995	2.2665
стройный	кипарис	14	1	1	0.01	attraction	0.0714	0.995	2.2665
стройный	тополь	14	1	1	0.01	attraction	0.0714	0.995	2.2665
яркий	барбарис	14	1	1	0.01	attraction	0.0714	0.995	2.2665
яркий	оперение колибри	14	1	1	0.01	attraction	0.0714	0.995	2.2665
яркий	карнавал	14	1	1	0.01	attraction	0.0714	0.995	2.2665
игривый	дитя	3	5	1	0.01	attraction	0.3318	0.1992	2.2372
желтый	солнышко	3	5	1	0.01	attraction	0.3318	0.1992	2.2372
зеленый	лоза	5	3	1	0.01	attraction	0.1992	0.3318	2.2372
голый	барабан	5	3	1	0.01	attraction	0.1992	0.3318	2.2372
кроткий	овечка	5	3	1	0.01	attraction	0.1992	0.3318	2.2372
ясный	луна	5	3	1	0.01	attraction	0.1992	0.3318	2.2372
ясный	кристалл	5	3	1	0.01	attraction	0.1992	0.3318	2.2372
красивый	восход солнца	15	1	1	0.01	attraction	0.0667	0.9946	2.2365
бесконечный	вселенная	4	4	1	0.01	attraction	0.2488	0.2488	2.2093
толстый	боров	4	4	1	0.01	attraction	0.2488	0.2488	2.2093
тягучий	смола	4	4	1	0.01	attraction	0.2488	0.2488	2.2093
блистающий	огонь	2	8	1	0.01	attraction	0.4973	0.1246	2.2091
жаркий	огонь	2	8	1	0.01	attraction	0.4973	0.1246	2.2091
ровный	бревно	8	2	1	0.01	attraction	0.1246	0.4973	2.2091
сладкий	изюм	16	1	1	0.01	attraction	0.0625	0.9942	2.2085
сладкий	запах лилий	16	1	1	0.01	attraction	0.0625	0.9942	2.2085
сладкий	малина	16	1	1	0.01	attraction	0.0625	0.9942	2.2085
сладкий	грех	16	1	1	0.01	attraction	0.0625	0.9942	2.2085
вечный	жизнь	13	25	2	0.13	attraction	0.1449	0.0757	2.1832
больной	собака	1	17	1	0.01	attraction	0.9938	0.0588	2.1822
лeгкий	пух	1	17	1	0.01	attraction	0.9938	0.0588	2.1822
рассыпчатый	пух	1	17	1	0.01	attraction	0.9938	0.0588	2.1822
угрюмый	собака	1	17	1	0.01	attraction	0.9938	0.0588	2.1822
могучий	дерево	3	6	1	0.01	attraction	0.3314	0.1659	2.1582
наивный	свинья	3	6	1	0.01	attraction	0.3314	0.1659	2.1582
густой	молоко	3	6	1	0.01	attraction	0.3314	0.1659	2.1582
широкий	море	3	6	1	0.01	attraction	0.3314	0.1659	2.1582
тихий	мышь	3	6	1	0.01	attraction	0.3314	0.1659	2.1582
вкусный	сахар	2	9	1	0.01	attraction	0.4969	0.1107	2.158
коварный	волк	2	9	1	0.01	attraction	0.4969	0.1107	2.158
живой	мешок картошки	18	1	1	0.01	attraction	0.0556	0.9934	2.1574
плоский	досточка	19	1	1	0.01	attraction	0.0526	0.993	2.1339
плоский	панель	19	1	1	0.01	attraction	0.0526	0.993	2.1339
плоский	поднос	19	1	1	0.01	attraction	0.0526	0.993	2.1339
малиновый	рак	1	19	1	0.01	attraction	0.993	0.0526	2.1339
серьезный	рак	1	19	1	0.01	attraction	0.993	0.0526	2.1339
живучий	боров	5	4	1	0.01	attraction	0.1988	0.2485	2.1126
наглый	баран	4	5	1	0.01	attraction	0.2485	0.1988	2.1126
круглый	блин	5	4	1	0.01	attraction	0.1988	0.2485	2.1126
слабый	котенок	5	4	1	0.01	attraction	0.1988	0.2485	2.1126
огромный	кобыла	10	2	1	0.01	attraction	0.0996	0.4965	2.1124
сухой	дым	10	2	1	0.01	attraction	0.0996	0.4965	2.1124
сухой	лес	10	2	1	0.01	attraction	0.0996	0.4965	2.1124
бесформенный	вода	1	20	1	0.01	attraction	0.9926	0.05	2.1116
надежный	поляк	20	1	1	0.01	attraction	0.05	0.9926	2.1116
надежный	молоток	20	1	1	0.01	attraction	0.05	0.9926	2.1116
надежный	гора эверест	20	1	1	0.01	attraction	0.05	0.9926	2.1116
надежный	холод	20	1	1	0.01	attraction	0.05	0.9926	2.1116
спокойный и мягкий	вода	1	20	1	0.01	attraction	0.9926	0.05	2.1116
желанный	свет	3	7	1	0.01	attraction	0.331	0.1421	2.0914
могучий	дуб	3	7	1	0.01	attraction	0.331	0.1421	2.0914
тощий	скелет	7	3	1	0.01	attraction	0.1421	0.331	2.0914
инфантильный	ребенок	1	21	1	0.01	attraction	0.9923	0.0476	2.0904
искренный	ребенок	1	21	1	0.01	attraction	0.9923	0.0476	2.0904
прекрасный	прекрасны как богиня любви афродита 	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
прекрасный	бутон розы	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
прекрасный	женщина	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
прекрасный	венеция	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
прекрасный	королева	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
прекрасный	цветок лотоса	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
простодушный	ребенок	1	21	1	0.01	attraction	0.9923	0.0476	2.0904
свободный	муха в полете	21	1	1	0.01	attraction	0.0476	0.9923	2.0904
белый	голубь	99	4	2	0.15	attraction	0.0194	0.4624	2.0821
проворный	молния	2	11	1	0.01	attraction	0.4961	0.0905	2.071
грациозный	кошка	2	11	1	0.01	attraction	0.4961	0.0905	2.071
забугорный	черт	1	23	1	0.01	attraction	0.9915	0.0435	2.0509
незаметный	ночь	1	23	1	0.01	attraction	0.9915	0.0435	2.0509
обаятельный	черт	1	23	1	0.01	attraction	0.9915	0.0435	2.0509
скучный	черт	1	23	1	0.01	attraction	0.9915	0.0435	2.0509
стабильный	черт	1	23	1	0.01	attraction	0.9915	0.0435	2.0509
бесконечный	океан	4	6	1	0.01	attraction	0.2481	0.1655	2.0337
темный	вино	6	4	1	0.01	attraction	0.1655	0.2481	2.0337
элегантный	цветок	6	4	1	0.01	attraction	0.1655	0.2481	2.0337
большой	медведь	3	8	1	0.01	attraction	0.3306	0.1242	2.0336
желанный	мед	3	8	1	0.01	attraction	0.3306	0.1242	2.0336
мощный	медведь	3	8	1	0.01	attraction	0.3306	0.1242	2.0336
густой	мед	3	8	1	0.01	attraction	0.3306	0.1242	2.0336
быстрый	вечер	24	1	1	0.01	attraction	0.0417	0.9911	2.0324
быстрый	ракета	24	1	1	0.01	attraction	0.0417	0.9911	2.0324
простой	пень	57	7	2	0.15	attraction	0.0331	0.2644	2.0297
черный	смола	106	4	2	0.16	attraction	0.0181	0.4597	2.024
воздушный	облако	5	5	1	0.01	attraction	0.1985	0.1985	2.016
свежий	персик	5	5	1	0.01	attraction	0.1985	0.1985	2.016
светлый	дитя	5	5	1	0.01	attraction	0.1985	0.1985	2.016
режущий	бритва	1	25	1	0.01	attraction	0.9907	0.04	2.0147
тонкий	иголочка	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
тонкий	пергамент	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
тонкий	нитка	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
тонкий	ручиек	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
спокойный	бездна	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
спокойный	масло	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
спокойный	тина	26	1	1	0.01	attraction	0.0385	0.9903	1.9977
пьяный	паровоз	9	3	1	0.01	attraction	0.1103	0.3302	1.9826
жесткий	земля	9	3	1	0.01	attraction	0.1103	0.3302	1.9826
храбрый	волк	3	9	1	0.01	attraction	0.3302	0.1103	1.9826
глупый	пень	4	7	1	0.01	attraction	0.2477	0.1417	1.967
тощий	спичка	7	4	1	0.01	attraction	0.1417	0.2477	1.967
прочный	бревно	14	2	1	0.01	attraction	0.071	0.495	1.9666
яркий	радуга	14	2	1	0.01	attraction	0.071	0.495	1.9666
злой	бультерьер	28	1	1	0.01	attraction	0.0357	0.9896	1.9655
злой	волчица	28	1	1	0.01	attraction	0.0357	0.9896	1.9655
злой	чорт	28	1	1	0.01	attraction	0.0357	0.9896	1.9655
злой	сабака	28	1	1	0.01	attraction	0.0357	0.9896	1.9655
злой	собака побитая	28	1	1	0.01	attraction	0.0357	0.9896	1.9655
жесткий	камень	9	48	2	0.17	attraction	0.2044	0.0389	1.9516
постоянный	скала	1	29	1	0.01	attraction	0.9892	0.0345	1.9502
каменный	скала	1	29	1	0.01	attraction	0.9892	0.0345	1.9502
крепкий	броня	29	1	1	0.01	attraction	0.0345	0.9892	1.9502
крепкий	кулак	29	1	1	0.01	attraction	0.0345	0.9892	1.9502
крепкий	хвост у моржа	29	1	1	0.01	attraction	0.0345	0.9892	1.9502
сильный	мул	29	1	1	0.01	attraction	0.0345	0.9892	1.9502
сильный	орел	29	1	1	0.01	attraction	0.0345	0.9892	1.9502
твердый	дерево	74	6	2	0.17	attraction	0.0254	0.3054	1.9489
синий	океан	5	6	1	0.01	attraction	0.1981	0.1651	1.9372
невинный	овечка	10	3	1	0.01	attraction	0.0992	0.3298	1.937
красивый	радуга	15	2	1	0.01	attraction	0.0663	0.4946	1.9367
накачаный	бык	1	30	1	0.01	attraction	0.9888	0.0333	1.9355
глубокий	сажа	4	8	1	0.01	attraction	0.2473	0.1238	1.9092
тягучий	мед	4	8	1	0.01	attraction	0.2473	0.1238	1.9092
сладкий	пастила	16	2	1	0.01	attraction	0.0621	0.4942	1.9087
сладкий	мечта	16	2	1	0.01	attraction	0.0621	0.4942	1.9087
мягкий	павлинье горло	32	1	1	0.01	attraction	0.0312	0.988	1.9075
мягкий	губка	32	1	1	0.01	attraction	0.0312	0.988	1.9075
мягкий	хлопок	32	1	1	0.01	attraction	0.0312	0.988	1.9075
гладкий	яичко	32	1	1	0.01	attraction	0.0312	0.988	1.9075
