words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
кристальный	слеза	2	54	1	0.04	attraction	0.4795	0.0181	1.3837
горячий	солнце	10	11	1	0.04	attraction	0.0961	0.0874	1.3788
яркий	огонь	14	8	1	0.04	attraction	0.0687	0.12	1.3711
здоровый	трактор	38	3	1	0.04	attraction	0.0255	0.319	1.362
простой	жвачка	57	2	1	0.04	attraction	0.0171	0.4783	1.3605
простой	кувалда	57	2	1	0.04	attraction	0.0171	0.4783	1.3605
простой	сноуборд	57	2	1	0.04	attraction	0.0171	0.4783	1.3605
крепкий	вино	29	4	1	0.04	attraction	0.0333	0.2392	1.3552
сильный	лошадь	29	4	1	0.04	attraction	0.0333	0.2392	1.3552
пушистый	снег	2	59	1	0.05	attraction	0.4776	0.0166	1.3456
тощий	пух	7	17	1	0.05	attraction	0.1367	0.0565	1.3451
нежный	пушинка	12	10	1	0.05	attraction	0.0798	0.0957	1.3418
темный	вода	6	20	1	0.05	attraction	0.1593	0.0481	1.3414
чистый	любовь	61	2	1	0.05	attraction	0.016	0.4768	1.3313
чистый	мечта	61	2	1	0.05	attraction	0.016	0.4768	1.3313
упрямый	танк	10	13	1	0.05	attraction	0.0953	0.0734	1.3077
прямой	солома	33	4	1	0.05	attraction	0.0291	0.2376	1.3001
красный	вино	34	4	1	0.05	attraction	0.0282	0.2372	1.2874
темный	ночь	6	23	1	0.05	attraction	0.1581	0.0415	1.282
бледный	простыня	46	3	1	0.05	attraction	0.021	0.3159	1.2803
быстрый	мышь	24	6	1	0.06	attraction	0.0397	0.1578	1.2639
твердый	гранит	74	2	1	0.06	attraction	0.0131	0.4717	1.2485
нужный	дождь	79	2	1	0.06	attraction	0.0123	0.4698	1.2206
нужный	воздух и вода	79	2	1	0.06	attraction	0.0123	0.4698	1.2206
широкий	мир	3	391	2	0.45	attraction	0.5161	0.0047	1.2107
красивый	солнце	15	11	1	0.06	attraction	0.0628	0.0855	1.2069
быстрый	свет	24	7	1	0.06	attraction	0.0393	0.1339	1.1989
злой	лев	28	6	1	0.06	attraction	0.0338	0.1562	1.1987
натуральный	воздух	1	164	1	0.06	attraction	0.9369	0.0061	1.1978
незаменимый	воздух	1	164	1	0.06	attraction	0.9369	0.0061	1.1978
невидимый	воздух	1	164	1	0.06	attraction	0.9369	0.0061	1.1978
реальный	воздух	1	164	1	0.06	attraction	0.9369	0.0061	1.1978
необходимый	воздух и вода	84	2	1	0.06	attraction	0.0115	0.4679	1.1943
сухой	пух	10	17	1	0.07	attraction	0.0938	0.0553	1.1943
довольный	паравоз	166	1	1	0.06	attraction	0.006	0.9362	1.1925
довольный	поросенок	166	1	1	0.06	attraction	0.006	0.9362	1.1925
довольный	слон в тазике	166	1	1	0.06	attraction	0.006	0.9362	1.1925
довольный	слоник	166	1	1	0.06	attraction	0.006	0.9362	1.1925
простой	апельсин	57	3	1	0.07	attraction	0.0168	0.3117	1.1891
простой	автомат калашникова	57	3	1	0.07	attraction	0.0168	0.3117	1.1891
простой	трактор	57	3	1	0.07	attraction	0.0168	0.3117	1.1891
крепкий	дерево	29	6	1	0.07	attraction	0.0325	0.1558	1.1838
крепкий	гора	29	6	1	0.07	attraction	0.0325	0.1558	1.1838
крепкий	кремень	29	6	1	0.07	attraction	0.0325	0.1558	1.1838
сильный	океан	29	6	1	0.07	attraction	0.0325	0.1558	1.1838
довoльный	слон	1	172	1	0.07	attraction	0.9338	0.0058	1.1771
благодушный	слон	1	172	1	0.07	attraction	0.9338	0.0058	1.1771
нежный	перышко	12	15	1	0.07	attraction	0.0779	0.0624	1.1703
прочный	сталь	14	13	1	0.07	attraction	0.0668	0.0719	1.1656
бледный	воск	46	4	1	0.07	attraction	0.0206	0.2326	1.1592
белый	стена	99	2	1	0.08	attraction	0.0097	0.4621	1.1243
голодный	черт	9	23	1	0.08	attraction	0.1026	0.0404	1.1114
тяжелый	черт	9	23	1	0.08	attraction	0.1026	0.0404	1.1114
свободный	пушинка	21	10	1	0.08	attraction	0.0441	0.0922	1.1055
сухой	стеклышко	10	21	1	0.08	attraction	0.0922	0.0441	1.1055
голубой	лед	5	42	1	0.08	attraction	0.1841	0.0222	1.1042
черный	деготь	106	2	1	0.08	attraction	0.009	0.4594	1.0952
черный	ад	106	2	1	0.08	attraction	0.009	0.4594	1.0952
черный	жук	106	2	1	0.08	attraction	0.009	0.4594	1.0952
черный	сволочь	106	2	1	0.08	attraction	0.009	0.4594	1.0952
твердый	деревяшка	74	3	1	0.09	attraction	0.0127	0.3051	1.0786
твердый	орех	74	3	1	0.09	attraction	0.0127	0.3051	1.0786
здоровый	огурчик	38	6	1	0.09	attraction	0.0244	0.1523	1.0702
простой	вселенная	57	4	1	0.09	attraction	0.0164	0.2283	1.0688
холодный	лезвие	46	5	1	0.09	attraction	0.0202	0.1826	1.066
рад	ребенок	11	21	1	0.09	attraction	0.0831	0.0437	1.0658
чистый	ребенок	61	21	2	0.5	attraction	0.0253	0.0722	1.064
сильный	железо	29	8	1	0.09	attraction	0.0317	0.1141	1.0636
сильный	медведь	29	8	1	0.09	attraction	0.0317	0.1141	1.0636
старый	человечество	346	4	2	0.54	attraction	0.0049	0.3668	1.0503
чистый	ангел	61	4	1	0.09	attraction	0.0152	0.2268	1.0404
нежный	ребенок	12	21	1	0.1	attraction	0.0756	0.0433	1.0296
злой	волк	28	9	1	0.1	attraction	0.0326	0.1006	1.0293
мягкий	бумага	32	8	1	0.1	attraction	0.0285	0.113	1.0226
свежий	слеза	5	54	1	0.1	attraction	0.1795	0.0169	0.9991
простой	автомат калашникова 	57	5	1	0.11	attraction	0.016	0.1783	0.9766
мягкий	сахар	32	9	1	0.11	attraction	0.0281	0.0991	0.974
твердый	кость	74	4	1	0.11	attraction	0.0123	0.2217	0.9598
упрямый	бык	10	30	1	0.12	attraction	0.0887	0.0298	0.9574
чистый	хрусталь	61	5	1	0.12	attraction	0.0148	0.1768	0.9485
сильный	бог	29	11	1	0.12	attraction	0.0306	0.08	0.9323
пустой	смерть	7	46	1	0.12	attraction	0.1254	0.0194	0.9274
острый	огонь	41	8	1	0.13	attraction	0.0216	0.1095	0.9202
довольный	жук	166	2	1	0.13	attraction	0.0056	0.4361	0.9056
довольный	мамонт	166	2	1	0.13	attraction	0.0056	0.4361	0.9056
яркий	жизнь	14	25	1	0.14	attraction	0.0621	0.0349	0.8946
неповоротливый	слон	2	172	1	0.13	attraction	0.4338	0.0054	0.8907
темный	смоль	6	61	1	0.14	attraction	0.1434	0.0144	0.8743
старый	древность	346	1	1	0.13	attraction	0.0029	0.8665	0.8736
старый	брак	346	1	1	0.13	attraction	0.0029	0.8665	0.8736
бледный	бумага	46	8	1	0.14	attraction	0.019	0.1075	0.8731
холодный	железо	46	8	1	0.14	attraction	0.019	0.1075	0.8731
необходимый	вода	84	20	2	0.65	attraction	0.0166	0.068	0.8666
белый	ангел	99	4	1	0.15	attraction	0.0089	0.212	0.8397
свободный	вода	21	20	1	0.16	attraction	0.0402	0.0422	0.8211
тяжелый	камень	9	48	1	0.17	attraction	0.0929	0.0177	0.8086
твердый	гора	74	6	1	0.17	attraction	0.0115	0.1384	0.7958
сухой	камень	10	48	1	0.19	attraction	0.0818	0.0173	0.7667
тихий	воздух	3	164	1	0.19	attraction	0.2702	0.0053	0.7483
простой	дыхание	57	9	1	0.2	attraction	0.0144	0.0894	0.7399
прозрачный	лед	48	42	2	0.78	attraction	0.0259	0.0295	0.7389
спокойный	вода	26	20	1	0.2	attraction	0.031	0.0403	0.7361
прекрасный	жизнь	21	25	1	0.2	attraction	0.0383	0.0322	0.7324
могучий	слон	3	172	1	0.2	attraction	0.2671	0.005	0.729
острый	сталь	41	13	1	0.21	attraction	0.0197	0.0614	0.7259
чистый	алмаз	61	9	1	0.21	attraction	0.0132	0.0878	0.7131
простой	пробка	57	10	1	0.22	attraction	0.014	0.0783	0.6987
твердый	железо	74	8	1	0.23	attraction	0.0107	0.0967	0.6829
холодный	сталь	46	13	1	0.23	attraction	0.017	0.0594	0.6808
вечный	камень	13	48	1	0.24	attraction	0.0587	0.0161	0.6643
чистый	зеркало	61	11	1	0.26	attraction	0.0124	0.0676	0.6358
простой	мир	57	391	11	8.62	attraction	0.0427	0.0072	0.6302
легкий	ветер	35	20	1	0.27	attraction	0.0211	0.0367	0.621
спокойный	слон	26	172	3	1.73	attraction	0.0494	0.0079	0.6065
старый	сноуборд	346	2	1	0.27	attraction	0.0024	0.3665	0.6025
белый	смерть	99	46	3	1.76	attraction	0.013	0.0274	0.5901
здоровый	вода	38	20	1	0.29	attraction	0.0189	0.0356	0.5899
белый	бумага	99	8	1	0.31	attraction	0.0073	0.087	0.571
крепкий	бык	29	30	1	0.34	attraction	0.0231	0.0224	0.54
острый	стрела	41	22	1	0.35	attraction	0.0161	0.0299	0.5266
гладкий	скала	32	29	1	0.36	attraction	0.0203	0.0224	0.5165
довольный	кот	166	6	1	0.39	attraction	0.004	0.1027	0.4833
довольный	свинья	166	6	1	0.39	attraction	0.004	0.1027	0.4833
простой	стеклышко	57	21	1	0.46	attraction	0.0096	0.0258	0.426
чистый	вода	61	20	1	0.47	attraction	0.0089	0.0266	0.4194
крепкий	смерть	29	46	1	0.52	attraction	0.0169	0.0107	0.3899
гладкий	лед	32	42	1	0.52	attraction	0.0152	0.0116	0.3875
простой	жизнь	57	25	1	0.55	attraction	0.0081	0.0181	0.3678
нужный	ветер	79	20	1	0.61	attraction	0.0051	0.0196	0.3339
бесконечный	мир	4	391	1	0.6	attraction	0.099	0.0012	0.3177
острый	лед	41	42	1	0.67	attraction	0.0083	0.0081	0.3083
чистый	стекло	61	29	1	0.68	attraction	0.0053	0.011	0.2998
мягкий	снег	32	59	1	0.73	attraction	0.0085	0.0047	0.2804
нужный	жизнь	79	25	1	0.76	attraction	0.0031	0.0095	0.2666
холодный	смерть	46	46	1	0.82	attraction	0.004	0.004	0.2478
холодный	камень	46	48	1	0.85	attraction	0.0032	0.0031	0.2359
черный	черт	106	23	1	0.94	attraction	0.0006	0.0025	0.2078
чистый	воздух	61	164	1	3.87	repulsion	-0.0482	-0.0187	1.0379
старый	жизнь	346	25	1	3.34	repulsion	-0.0078	-0.0947	0.8768
здоровый	слон	38	172	1	2.53	repulsion	-0.0408	-0.0095	0.5704
сильный	слон	29	172	1	1.93	repulsion	-0.0324	-0.0058	0.3817
довольный	ребенок	166	21	1	1.35	repulsion	-0.0022	-0.0167	0.2179
легкий	воздух	35	164	2	2.22	repulsion	-0.0064	-0.0014	0.2109
холодный	снег	46	59	1	1.05	repulsion	-0.0011	-0.0009	0.1443
