words1	words2	freq.w1	freq.w2	obs.w1_2.in_c	exp.w1_2.in_c	relation	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
clear	sunlight at high noon	73	1	1	0.08	attraction	0.0137	0.9203	1.0928
expensive	fuck	2	40	1	0.09	attraction	0.4568	0.0238	1.0626
fake	fuck	2	40	1	0.09	attraction	0.4568	0.0238	1.0626
loud	fuck	2	40	1	0.09	attraction	0.4568	0.0238	1.0626
miserable	fuck	2	40	1	0.09	attraction	0.4568	0.0238	1.0626
sure	shit	37	13	2	0.53	attraction	0.0414	0.1146	1.0188
creative	heck	3	32	1	0.11	attraction	0.2989	0.029	0.9889
mean	heck	3	32	1	0.11	attraction	0.2989	0.029	0.9889
sad	heck	3	32	1	0.11	attraction	0.2989	0.029	0.9889
spooky	heck	3	32	1	0.11	attraction	0.2989	0.029	0.9889
available	time	3	33	1	0.11	attraction	0.2978	0.028	0.976
sure	clockwork	37	3	1	0.12	attraction	0.0247	0.2934	0.9283
proud	hell	8	328	5	2.9	attraction	0.2645	0.01	0.9189
soft	silk	8	15	1	0.13	attraction	0.1094	0.0588	0.9005
sad	fuck	3	40	1	0.13	attraction	0.29	0.0227	0.8959
shady	fuck	3	40	1	0.13	attraction	0.29	0.0227	0.8959
tight	fuck	3	40	1	0.13	attraction	0.29	0.0227	0.8959
big	hell	6	328	4	2.18	attraction	0.3059	0.0087	0.8824
butch	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
cheeky	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
chic	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
competitive	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
confusing	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
crazy	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
heavy	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
hungry	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
lucky	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
messy	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
painful	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
stubborn	hell	2	328	2	0.73	attraction	0.6386	0.0061	0.8814
smart	hell	4	328	3	1.45	attraction	0.3889	0.0074	0.8584
sweet	pie	9	15	1	0.15	attraction	0.0955	0.0577	0.8527
old	dust	72	2	1	0.16	attraction	0.0127	0.4213	0.8152
old	nature itself	72	2	1	0.16	attraction	0.0127	0.4213	0.8152
old	rock	72	2	1	0.16	attraction	0.0127	0.4213	0.8152
lazy	fuck	4	40	1	0.18	attraction	0.2067	0.0215	0.7803
sexy	fuck	4	40	1	0.18	attraction	0.2067	0.0215	0.7803
smart	fuck	4	40	1	0.18	attraction	0.2067	0.0215	0.7803
tough	hell	9	328	5	3.27	attraction	0.1947	0.0083	0.7144
funny	heck	23	32	2	0.81	attraction	0.0529	0.0384	0.7123
big	time	6	33	1	0.22	attraction	0.131	0.0246	0.6979
old	life	72	3	1	0.24	attraction	0.0115	0.2545	0.6563
clear	night follows day	73	3	1	0.24	attraction	0.0113	0.2534	0.6508
good	daylight	29	8	1	0.26	attraction	0.0265	0.0938	0.6375
light	day	4	62	1	0.27	attraction	0.1822	0.0126	0.606
creepy	heck	8	32	1	0.28	attraction	0.0904	0.0232	0.5997
sure	rain	37	7	1	0.29	attraction	0.0201	0.1027	0.5945
cheap	hell	5	328	3	1.81	attraction	0.2385	0.0057	0.5936
old	heck	72	32	1	2.55	repulsion	-0.0234	-0.0502	0.5861
sure	day	37	62	1	2.54	repulsion	-0.0433	-0.0266	0.5809
hard	heck	9	32	1	0.32	attraction	0.0765	0.0221	0.5558
creative	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
dumb	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
fine	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
lame	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
mean	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
powerful	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
shady	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
slow	hell	3	328	2	1.09	attraction	0.3048	0.0044	0.524
soft	hell	8	328	4	2.9	attraction	0.1384	0.0053	0.4936
hard	fuck	9	40	1	0.4	attraction	0.0675	0.0157	0.4739
accurate	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
anxious	hell	1	328	1	0.36	attraction	0.6379	0.003	0.4403
